PERMIT_TYPE,APP_ID,WDID,STATUS,NOI_PROCESSED_DATE,REGION_BOARD,COUNTY,OPERATOR_NAME,FACILITY_NAME,FACILITY_ADDRESS,FACILITY_CITY,FACILITY_STATE,FACILITY_ZIP,FACILITY_LATITUDE,FACILITY_LONGITUDE,FACILITY_COUNTY,FACILITY_CONTACT_FIRST_NAME,FACILITY_CONTACT_LAST_NAME,FACILITY_PHONE,FACILITY_TOTAL_SIZE,FACILITY_TOTAL_SIZE_UNIT,PRIMARY_SIC
Industrial,181814,2 07I002637,Terminated,1992-04-01,4,Los Angeles,Myers Container Corp,Myers Container Corp,900 Brookside Dr,Richmond,Ca,94801.0,37.96465,-122.35713,Los Angeles,Dana,W Zanone,Unknown,122.0,Unknown,"3412-Metal Shipping Barrels, Drums, Kegs, And Pails"
Industrial,188525,4 19I000008,Terminated,1992-01-26,4,Los Angeles,Los Angeles Daily News,La Newspaper Grp Press Telegra,604 Pine Ave,Long Beach,Ca,90844.0,34.06586,-118.21922,Los Angeles,Dennis,Healy,3104991234,2.0,Acres,"2711-Newspapers:  Publishing, Or Publishing And Printing"
Industrial,188526,4 19I000010,Terminated,1992-01-26,4,Los Angeles,Kenwalt Die Casting Co,Kenwalt Die Casting Co,8719 Bradley Ave,Sun Valley,Ca,91352.0,34.22783,-118.37396,Los Angeles,Steve,Lago,818-768-5800,30000.0,Sqft,3363-Aluminum Die-Castings
Industrial,188526,4 19Nec012103,Active,1992-01-26,4,Los Angeles,Kenwalt Die Casting Co,Kenwalt Die Casting Co,8719 Bradley Ave,Sun Valley,Ca,91352.0,34.22783,-118.37396,Los Angeles,Steve,Lago,818-768-5800,30000.0,Sqft,3363-Aluminum Die-Castings
Industrial,188527,4 19I000023,Terminated,1992-02-07,4,Los Angeles,Us Postal Service La Vmf,Usps Los Angeles Central Vmf,7001 S Central Ave,Los Angeles,Ca,90052.0,33.98,-118.2605,Los Angeles,Vmf,Manager,323-586-1900,215000.0,Sqft,4311-United States Postal Service
Industrial,188527,4 19Nec000606,Active,1992-02-07,4,Los Angeles,Us Postal Service La Vmf,Usps Los Angeles Central Vmf,7001 S Central Ave,Los Angeles,Ca,90052.0,33.98,-118.2605,Los Angeles,Vmf,Manager,323-586-1900,215000.0,Sqft,4311-United States Postal Service
Industrial,188528,4 19I000024,Terminated,1992-02-07,4,Los Angeles,Usps Los Angeles West Vmf,Usps Los Angeles West Vmf,2306 Corinth Ave,Los Angeles,Ca,90064.0,34.03601,-118.44083,Los Angeles,Ulises,Gonzales Capitaine,323-272-0030,21000.0,Sqft,4311-United States Postal Service
Industrial,188528,4 19Nec000603,Terminated,1992-02-07,4,Los Angeles,Usps Los Angeles West Vmf,Usps Los Angeles West Vmf,2306 Corinth Ave,Los Angeles,Ca,90064.0,34.03601,-118.44083,Los Angeles,Ulises,Gonzales Capitaine,323-272-0030,21000.0,Sqft,4311-United States Postal Service
Industrial,188529,4 19I000025,Terminated,1992-02-07,4,Los Angeles,Us Postal Service La Vmf,Us Postal Ser La North Vmf,1375 N Western Ave,Los Angeles,Ca,90027.0,34.09631,-118.30928,Los Angeles,Artie,Sanders,3234647591,31042.0,Acres,4311-United States Postal Service
Industrial,188530,4 19I000030,Terminated,1992-02-07,4,Los Angeles,"Lee, Young S",Five Points Auto Wrecking,11847 Valley Blvd,El Monte,Ca,91732.0,34.06453,-118.02182,Los Angeles,Unknown,Unknown,Unknown,26000.0,Sqft,"5015-Motor Vehicle Parts, Used"
